Dimension: 0
[0.000, 0.070): [33]+[23]
[0.000, 0.109): [39]+[47]
[0.000, 0.100): [28]+[27]
[0.000, 0.085): [40]+[38]
[0.000, 0.097): [18]+[10]
[0.000, 0.086): [28]+[34]
[0.000, 0.086): [4]+[5]
[0.000, 0.101): [33]+[29]
[0.000, 0.091): [18]+[9]
[0.000, 0.066): [39]+[45]
[0.000, 0.126): [50]+[42]
[0.000, 0.074): [22]+[21]
[0.000, 0.098): [39]+[49]
[0.000, 0.120): [13]+[11]
[0.000, 0.073): [14]+[2]
[0.000, 0.075): [44]+[43]
[0.000, 0.125): [36]+[46]
[0.000, 0.116): [32]+[25]
[0.000, 0.097): [4]+[20]
[0.000, 0.124): [33]+[31]
[0.000, 0.099): [28]+[30]
[0.000, 0.112): [14]+[15]
[0.000, 0.038): [18]+[16]
[0.000, 0.155): [18]+[8]
[0.000, 0.084): [39]+[37]
[0.000, 0.083): [7]+[6]
[0.000, 0.095): [14]+[1]
[0.000, 0.104): [33]+[28]
[0.000, 0.080): [33]+[32]
[0.000, 0.101): [4]+[19]
[0.000, 0.110): [39]+[44]
[0.000, 0.125): [33]+[26]
[0.000, 0.073): [18]+[12]
[0.000, 0.107): [40]+[36]
[0.000, 0.124): [39]+[50]
[0.000, 0.116): [33]+[22]
[0.000, 0.112): [33]+[24]
[0.000, 0.109): [33]+[35]
[0.000, 0.103): [14]+[13]
[0.000, 0.160): [39]+[41]
[0.000, 0.117): [39]+[48]
[0.000, 0.137): [14]+[17]
[0.000, 0.155): [14]+[3]
[0.000, 0.099): [14]+[18]
[0.000, 0.104): [14]+[4]
[0.000, 0.112): [39]+[40]
[0.000, 0.107): [14]+[7]
[0.000, 0.662): [14]+[33]
[0.000, 0.681): [39]+[14]
[0.000, Inf): [39]
Dimension: 1
[0.126, 0.154): [33,23]+[27,28]+[28,33]+[27,23]
[0.146, 0.181): [2,9]+[20,9]+[2,12]+[10,12]+[20,10]
[0.156, 0.195): [18,9]+[8,18]+[2,9]+[12,7]+[2,12]+[8,7]
[0.162, 0.171): [33,23]+[29,33]+[29,26]+[21,23]+[21,26]
[0.173, 0.211): [29,33]+[33,32]+[29,26]+[31,32]+[31,26]
[0.182, 0.198): [5,4]+[6,7]+[1,7]+[3,5]+[6,4]+[1,3]
[0.193, 0.195): [18,10]+[11,13]+[18,19]+[11,10]+[13,19]
[0.205, 0.206): [8,18]+[5,19]+[3,5]+[18,19]+[3,8]
[0.794, 0.816): [50,49]+[49,7]+[20,7]+[50,20]
[0.848, 0.869): [18,9]+[49,39]+[2,9]+[12,7]+[2,12]+[49,7]+[39,18]
[0.873, 0.899): [21,22]+[2,14]+[2,12]+[10,12]+[17,14]+[22,10]+[21,17]
[0.874, 0.898): [18,10]+[48,19]+[18,19]+[48,40]+[43,40]+[43,10]
[0.894, 0.908): [33,23]+[18,9]+[2,14]+[25,32]+[8,18]+[33,32]+[23,24]+[2,9]+[25,14]+[24,8]
[0.900, 0.920): [5,4]+[2,14]+[37,39]+[5,19]+[44,39]+[37,48]+[48,19]+[4,14]+[44,2]
[0.907, 0.938): [33,23]+[29,33]+[37,39]+[44,39]+[29,26]+[23,24]+[37,35]+[24,35]+[44,26]
