Dimension: 0
[0.000, 0.112): [14]+[11]
[0.000, 0.426): [37]+[39]
[0.000, 0.216): [48]+[42]
[0.000, 0.256): [37]+[36]
[0.000, 0.224): [48]+[49]
[0.000, 0.179): [33]+[31]
[0.000, 0.099): [4]+[10]
[0.000, 0.255): [26]+[27]
[0.000, 0.134): [35]+[28]
[0.000, 0.110): [34]+[24]
[0.000, 0.139): [41]+[44]
[0.000, 0.257): [4]+[8]
[0.000, 0.182): [35]+[30]
[0.000, 0.165): [14]+[16]
[0.000, 0.269): [1]+[5]
[0.000, 0.316): [4]+[3]
[0.000, 0.194): [19]+[22]
[0.000, 0.091): [26]+[23]
[0.000, 0.154): [14]+[12]
[0.000, 0.296): [17]+[15]
[0.000, 0.267): [19]+[18]
[0.000, 0.313): [37]+[40]
[0.000, 0.101): [6]+[2]
[0.000, 0.157): [48]+[43]
[0.000, 0.221): [20]+[14]
[0.000, 0.181): [26]+[33]
[0.000, 0.148): [4]+[1]
[0.000, 0.183): [34]+[17]
[0.000, 0.144): [41]+[45]
[0.000, 0.144): [34]+[29]
[0.000, 0.202): [7]+[6]
[0.000, 0.320): [37]+[38]
[0.000, 0.172): [34]+[21]
[0.000, 0.225): [34]+[25]
[0.000, 0.187): [48]+[50]
[0.000, 0.630): [48]+[37]
[0.000, 0.225): [34]+[13]
[0.000, 0.182): [26]+[35]
[0.000, 0.234): [34]+[19]
[0.000, 0.207): [41]+[46]
[0.000, 0.185): [41]+[47]
[0.000, 0.247): [7]+[9]
[0.000, 0.226): [34]+[20]
[0.000, 0.183): [34]+[26]
[0.000, 0.235): [48]+[41]
[0.000, 0.264): [4]+[7]
[0.000, 0.668): [34]+[48]
[0.000, 0.604): [34]+[4]
[0.000, Inf): [34]
Dimension: 1
[0.307, 0.341): [42,48]+[41,44]+[44,45]+[45,47]+[41,48]+[42,47]
[0.308, 0.340): [42,48]+[42,49]+[41,44]+[44,45]+[41,48]+[49,45]
[0.332, 0.340): [31,33]+[27,26]+[35,28]+[33,26]+[28,31]+[27,35]
[0.336, 0.337): [11,20]+[11,13]+[18,20]+[18,13]
[0.388, 0.400): [15,17]+[11,20]+[17,13]+[11,13]+[15,20]
[0.706, 0.745): [16,11]+[11,20]+[44,45]+[44,46]+[45,47]+[48,26]+[48,46]+[18,20]+[26,18]+[47,16]
[0.776, 0.808): [48,26]+[26,18]+[4,18]+[48,4]
[0.802, 0.839): [11,14]+[42,48]+[41,44]+[5,1]+[15,17]+[17,13]+[44,46]+[11,13]+[41,48]+[9,19]+[9,1]+[9,3]+[19,14]+[5,7]+[7,15]+[9,46]+[42,3]
[0.207, 0.222): [31,33]+[30,28]+[28,31]+[30,33]
[0.237, 0.353): [24,34]+[32,34]+[33,26]+[24,21]+[22,21]+[32,26]+[22,33]
[0.245, 0.335): [24,34]+[23,26]+[32,34]+[24,21]+[22,21]+[32,26]+[22,23]
[0.251, 0.294): [31,33]+[23,26]+[33,26]+[23,31]
[0.284, 0.335): [31,33]+[32,34]+[33,26]+[32,26]+[31,34]
[0.293, 0.306): [31,33]+[30,28]+[25,24]+[28,31]+[30,29]+[24,29]+[25,33]
[0.299, 0.312): [31,33]+[30,28]+[23,26]+[33,26]+[25,24]+[28,31]+[30,29]+[24,29]+[25,23]
[0.300, 0.329): [41,44]+[44,46]+[41,48]+[48,46]
[0.302, 0.404): [10,4]+[10,8]+[2,4]+[2,8]
[0.314, 0.373): [12,11]+[18,19]+[11,20]+[12,19]+[18,20]
[0.317, 0.383): [10,8]+[10,1]+[9,8]+[9,1]
[0.322, 0.395): [10,4]+[10,8]+[3,4]+[9,8]+[9,3]
[0.348, 0.399): [11,14]+[12,11]+[12,19]+[19,14]
[0.348, 0.414): [10,4]+[5,1]+[10,1]+[2,7]+[2,4]+[5,7]
[0.365, 0.473): [31,33]+[30,28]+[33,26]+[32,17]+[28,31]+[32,26]+[30,17]
[0.424, 0.466): [11,14]+[31,33]+[27,26]+[30,28]+[16,11]+[33,26]+[28,31]+[30,29]+[29,14]+[27,16]
[0.431, 0.463): [11,14]+[31,33]+[30,28]+[12,11]+[18,19]+[33,26]+[28,31]+[30,29]+[29,14]+[12,19]+[26,18]
[0.459, 0.518): [12,11]+[11,13]+[21,13]+[12,21]
[0.634, 0.696): [10,4]+[10,8]+[12,11]+[15,17]+[2,7]+[17,13]+[11,13]+[2,4]+[9,19]+[9,8]+[12,19]+[7,15]
[0.643, 0.660): [11,14]+[10,8]+[5,1]+[12,11]+[10,1]+[9,19]+[9,8]+[12,19]+[5,14]
